TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612764,Washington Wizards,2016-17,49,33,0.598,148.0
1610612737,Atlanta Hawks,2015-16,48,34,0.585,296.0
1610612738,Boston Celtics,2015-16,48,34,0.585,263.0
1610612751,Brooklyn Nets,2015-16,21,61,0.256,-603.0
1610612766,Charlotte Hornets,2015-16,48,34,0.585,223.0
1610612741,Chicago Bulls,2015-16,42,40,0.512,-121.0
1610612739,Cleveland Cavaliers,2015-16,57,25,0.695,492.0
1610612742,Dallas Mavericks,2015-16,42,40,0.512,-25.0
1610612743,Denver Nuggets,2015-16,33,49,0.402,-254.0
1610612765,Detroit Pistons,2015-16,44,38,0.537,50.0
1610612744,Golden State Warriors,2015-16,73,9,0.89,882.0
1610612745,Houston Rockets,2015-16,41,41,0.5,16.0
1610612754,Indiana Pacers,2015-16,45,37,0.549,140.0
1610612746,LA Clippers,2015-16,53,29,0.646,351.0
1610612747,Los Angeles Lakers,2015-16,17,65,0.207,-784.0
1610612763,Memphis Grizzlies,2015-16,42,40,0.512,-184.0
1610612748,Miami Heat,2015-16,48,34,0.585,135.0
1610612749,Milwaukee Bucks,2015-16,33,49,0.402,-343.0
1610612750,Minnesota Timberwolves,2015-16,29,53,0.354,-290.0
1610612740,New Orleans Pelicans,2015-16,30,52,0.366,-311.0
1610612752,New York Knicks,2015-16,32,50,0.39,-224.0
1610612760,Oklahoma City Thunder,2015-16,55,27,0.671,597.0
1610612753,Orlando Magic,2015-16,35,47,0.427,-133.0
1610612755,Philadelphia 76ers,2015-16,10,72,0.122,-839.0
1610612756,Phoenix Suns,2015-16,23,59,0.28,-546.0
1610612757,Portland Trail Blazers,2015-16,44,38,0.537,68.0
1610612758,Sacramento Kings,2015-16,33,49,0.402,-203.0
1610612759,San Antonio Spurs,2015-16,67,15,0.817,872.0
1610612761,Toronto Raptors,2015-16,56,26,0.683,369.0
1610612762,Utah Jazz,2015-16,40,42,0.488,147.0
1610612764,Washington Wizards,2015-16,41,41,0.5,-41.0
1610612737,Atlanta Hawks,2014-15,60,22,0.732,445.0
1610612738,Boston Celtics,2014-15,40,42,0.488,13.0
1610612751,Brooklyn Nets,2014-15,38,44,0.463,-236.0
1610612766,Charlotte Hornets,2014-15,33,49,0.402,-260.0
1610612741,Chicago Bulls,2014-15,50,32,0.61,246.0
1610612739,Cleveland Cavaliers,2014-15,53,29,0.646,367.0
1610612742,Dallas Mavericks,2014-15,50,32,0.61,238.0
1610612743,Denver Nuggets,2014-15,30,52,0.366,-291.0
1610612765,Detroit Pistons,2014-15,32,50,0.39,-82.0
1610612744,Golden State Warriors,2014-15,67,15,0.817,828.0
1610612745,Houston Rockets,2014-15,56,26,0.683,282.0
1610612754,Indiana Pacers,2014-15,38,44,0.463,23.0
1610612746,Los Angeles Clippers,2014-15,56,26,0.683,540.0
1610612747,Los Angeles Lakers,2014-15,21,61,0.256,-561.0
1610612763,Memphis Grizzlies,2014-15,55,27,0.671,266.0
1610612748,Miami Heat,2014-15,37,45,0.451,-213.0
1610612749,Milwaukee Bucks,2014-15,41,41,0.5,35.0
1610612750,Minnesota Timberwolves,2014-15,16,66,0.195,-721.0
1610612740,New Orleans Pelicans,2014-15,45,37,0.549,65.0
1610612752,New York Knicks,2014-15,17,65,0.207,-764.0
1610612760,Oklahoma City Thunder,2014-15,45,37,0.549,179.0
